,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,Negeri
River & Date of Flood,,,,,,,,"Btg. Lawas
28/1","Btg. Lawas
26/10",,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,,,,,,"Btg. Terusan
28/1","Btg. Terusan
26-27/10",,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,"Btg. Limbang
25-28/1","Btg. Limbang
25-27/1, 30/1",,,,,"Sg. Limbang
27/1, 20/2","Btg. Limbang
25-30/10 ","Btg. Limbang
4-6/2",,
,,,,,,,,,"Sg. Berawan
25-27/10",,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,"Sg. Baram
4-6/3, 17-20/3",,,,,,,"Sg. Baram/ Sg. Tinjar/ Sg. Tutoh
24-30/1","Sg. Nyelong
11-14/1",,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,,,,,,,,"Sg. Maung Kanan
1/10",,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,,,,,,,"Btg. Balingian
26/12",,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,,,,,,,"Btg. Mukah
26/12","Btg. Mukah/Kuala Mukah/Sg. Tilian/Sg. Bedil/Sg. Kuala Lama
9-13/1",,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,,,,,,,"Btg. Oya
26/12","Btg. Oya
9-13/1",,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,"Sg. Bakir/ Sg. Simanggang
9-13/2","Btg. Rajang
12-26/1, 20/2-7/3, 3/6",,,,,"Btg. Rajang/Btg. Igan/Sg. Salim/Btg. Seduan
12-16/12
","Sg. Bakir/ Sg. Simanggang
11-19/11, 15/12","Btg. Rajang
10-14/1, 29/1-2/2, ",,
,,"Btg. Rajang
9-14/2",,,,,,,,"Sg. Kedup
11-13/1",,
,,,,,,,,,,"Sg. Serian
11-13/1",,
,,,,,,,,,,"Sg. Seduan
10-13/1",,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,,,,,,,,"Btg. Layar
11-13/1,28-29/1",,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,,,,,,,,"Sg. Sebuyau
28-31/1",,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,,,,,,,,"Sg. Batang Sadong/ Sg. Sebangan/ Sg. Sebuyau
28-31/1",,
,,,,,,,,,,"Sg. Sadong
11-13/1",,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,,,,,,"Sg. Tuang
30/11",,,,
,,,,,,,,"Sg. Loba Batu Belat
30/11",,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,"Sg. Sarawak
28/2 ","Sg. Sarawak
6-10/1, 13/1, 20/1, 28/1, 3-4/2,16-17/2, 1/7, 10/9","Sg. Sarawak
23-26/1, 3-8/2, 2/4, 2/5, ",,,"Sg. Sarawak Kanan
23/2, 18/9, 20/12, 27/12, 30/12","Sg. Sarawak
23/1, 29/1, ","Sg. Sarawak
9/11","Sg. Sarawak
10-12/1",,
,,,,,,,,,,"Sg. Moyan
11-12/1",,
,,,,,,,,,,"Sg. Kayan
11-13/1",,
,,,,,,,,,,"Sg. Ketup/ Sg. Karu/ Sg. Ruben
11-13/1",,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,,,,,,,,"Sg. Maung Kanan
10-12/1",,
,,,,,,,,,,"Sg. Pandungan/ Sg. Maung/
11/1",,
,,,,,,,,,,"Sg. Maung Kiri
11-12/1",,
,,,,,,,,,,"Sg. Maung Paroh
12/1",,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,,,,,,,,"Sg. Tengah & Minjab
11/1",,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,,,,,,,,,,
