,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,Negeri
,,"Sg. Kinta / Sg. Tumbuh
30/4-2/5","Sg. Kinta / Sg. Pari
29/4","Sg. Keroh
30/3","Alur Bukit Chante
10/11",,"Sg. Nerok
8/4, 26/4, 20/5, 30/7","Sg. Kerdah
9/8","Sg. Choh
30/3","Sg. Sira Rambutan / Sg. Lenggong
23/11","Sg. Resam
21/9",
,,,"Sg. Resam
29/4, 20/12","Sg. Kopisan
3-4/3","Sg. Rapat
15/10, 25/11",,"Sg. Temelong
19/4","Sg. Temelong
19/5, 9/7","Sg. Kuang
30/3, 10/7","Sg. Nerok
23/11","Sg. Cheroh
12/8",
,,,"Sg. Klah
9/11","Sg. Senam
3-4/3","Sg. Pari
9/11",,"Sg. Lenggong
20/5","Sg. Keneriang
30/9, 21/10","Sg. Cheroh
21/3, 6/7","Sg. Ayer Tawar
27/10","Sg. Larah
20/9",
,,,"Sg. Tapah
18/12","Sg. Sejuk
6/11","Sg. Resam
23/12",,"Sg. Nerok / Sg. Lenggong
21/9","Sg. Nerok
30/9","Sg. Pari
22/3, 18/4","Sg. Hangai
27/10",,
,,,"Sg. Selinsing
21/12","Sg. Selabak
15/5",,,"Sg. Kenering
9/11","Sg. Kenderong
11/6","Sg. Trolak
23/3, 30/3","Sg. Kenderong
27/10",,
,,,"Sg. Rokam
21/12","Sg. Bidor
17/5, 26-27/9, 
24-27/11",,,"Sg. Kenderong/ Sg. Hangai / Sg. Air Tawar
15/11","Sg. Hangai
11/6",,"Sg. Pari
14-15/1, 17/1, 3/2, 10/2,1/3, 4/3, 10/3, 16/3, 
24-25/3, 31/3,  1/4, 9/4, 8-9/5,
14-15/5, 18/5, 21/5, 23/5, 26/6, 30/6, 7/7, 15/7, 28/7, 13/8, 20/8, 24/8, 4/9, 17/9, 29/9, 11/10, 15/10, 24/10, 31/10, 3/11, 15/11, 1/12, 9/12, 11/12, 18/12, 23/12, 27/12",,
,,,"Sg. Sayak
21/12","Sg. Baung/ Sg. Sungkai
10-14/10",,,"Sg. Temelong / Sg. Lenggong
30/11","Sg. Air Tawar
11/6",,"Sg. Pinji
19/3, 25-26/3, 9/4, 15/4, 7-8/5, 15/5, 25/5, 7/7, 24/7, 28/7, 21-22/8, 28/8, 4/9, 13/9, 18/9, 23/10, 3/11, 8/12",,
,,,"Sg. Bidor
8-9/10, 23/11","Sg. Pahlawan/ Sg. Chikus / Sg. Seluang
10-14/10",,,"Sg. Pari
20/4,13/5, 24/10, ","Sg. Pinji
15-16/4, 18/4, 30/6, 3/7, 20/11",,,,
,,,"Sg. Selabak
8-9/10","Sg. Kinta / Sg. Mengkuang / Sg. Beka
10-14/10,
24-27/11 ",,,"Sg. Chemor
20/4","Sg. Pari
6/3",,,,
,,,"Sg. Sungkai Mati
19-21/11","Sg. Sungkai Mati / Sg. Jelawat
24-27/11",,,"Sg. Jernih
4/5","Sg. Kinta / 
Sg. Choh
20/11",,,,
,,,"Sg. Sungkai / Sg. Seluang
19-21/11","Sg. Kangsar
23-29/9",,,"Sg. Rapat
15/5",,,,,
,,,"Sg. Bidor
19-21/11, 23/11","Sg. Lenggong
21/4, 4/10, 8/11",,,"Sg. Kati
20/10",,,,,
,,,"Sg. Beka
19-21/11
","Sg. Kuak
3-4/10",,,"Sg. Chepor
24/10",,,,,
,,,"Sg. Hangai
17/4","Sg. Jepai
4/10",,,"Sg. Kinta
24/10",,,,,
,,,"Sg. Lenggong
10/12","Sg. Temelong
4/10, 24/10, 20/11",,,"Sg. Batu
25-28/11",,,,,
,,,"Sg. Temelong
10/12","Sg. Pelus
9/10, 20/11",,,"Sg. Resam
26/11",,,,,
,,,"Sg. Pelus
28/10","Sg. Nerok
4/11, 9/11",,,"Sg. Pinji
12/12",,,,,
,,,,"Sg. Tampan
4/11",,,"Sg. Chenderiang
9/7",,,,,
,,,,,,,"Sg. Menderang
25/10",,,,,
,,,,,,,"Sg. Bikam
25/10",,,,,
,,,,,,,"Sg. Julur
25/10",,,,,
,,,,,,,"Sg. Sungkai
25/10",,,,,
,,,,,,,"Sg. Klah
25/10, 15/11",,,,,
,,,,,,,"Sg. Perak / Sg. Bidor
31/3, 27/4, 5/11",,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,Selangor
River & Date of Flood,,"Sg. Bernam
19/2, 26-27/4, 7/5,
 26/9","Sg. Bernam
10/11","Sg. Inki / Sg. Bernam
2/5","Sg. Bernam
7/11",,"Sg. Slim
23/10","Sg. Slim
20/11",,,,
,,,,"Sg. Bernam
11-14/11, 18/11",,,"Sg. Bernam
23/10",,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
River & Date of Flood,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
